Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Hour(Order_time),Hour(Delivery_time),Order_month,Delivery_month,Price (INR),Total Revenue,Diff_order_delivery,Day_name(order_date),Day_name(delivery_date)
305,C003,26,1,44987,0.007453704,44995,0.584085648,Lucknow,Holi,0,14,March,March,289,289,8,Thursday,Friday
315,C063,26,5,44991,0.598275463,44994,0.805798611,Ambattur,Holi,14,19,March,March,289,1445,3,Monday,Thursday
317,C014,29,3,44992,0.785729167,45000,0.675578704,Ahmednagar,Holi,18,16,March,March,1252,3756,8,Tuesday,Wednesday
318,C038,26,5,44992,0.510983796,44996,0.666516204,Hosur,Holi,12,15,March,March,289,1445,4,Tuesday,Saturday
320,C007,13,1,44986,0.326331019,44993,0.359965278,Bijapur,Holi,7,8,March,March,1141,1141,7,Wednesday,Wednesday
343,C006,66,3,44991,0.59212963,44994,0.39380787,Parbhani,Holi,14,9,March,March,610,1830,3,Monday,Thursday
346,C090,50,1,44989,0.975196759,44997,0.69900463,Pondicherry,Holi,23,16,March,March,422,422,8,Saturday,Sunday
357,C063,62,4,44988,0.834236111,44998,0.871921296,Kavali,Holi,20,20,March,March,1356,5424,10,Friday,Monday
361,C049,47,4,44988,0.256898148,44996,0.356365741,Rajkot,Holi,6,8,March,March,1638,6552,8,Friday,Saturday
367,C010,47,5,44988,0.030659722,44997,0.628506944,South Dumdum,Holi,0,15,March,March,1638,8190,9,Friday,Sunday
368,C042,6,3,44989,0.960671296,44991,0.119560185,Nashik,Holi,23,2,March,March,1112,3336,2,Saturday,Monday
378,C040,6,2,44986,0.479398148,44993,0.810324074,Hindupur,Holi,11,19,March,March,1112,2224,7,Wednesday,Wednesday
379,C078,66,1,44988,0.980335648,44991,0.447256944,Bhavnagar,Holi,23,10,March,March,610,610,3,Friday,Monday
385,C002,50,4,44988,0.052789352,44993,0.448819444,Alwar,Holi,1,10,March,March,422,1688,5,Friday,Wednesday
389,C061,29,2,44991,0.143263889,45001,0.759490741,Mahbubnagar,Holi,3,18,March,March,1252,2504,10,Monday,Thursday
390,C043,26,4,44988,0.653425926,44995,0.959803241,Akola,Holi,15,23,March,March,289,1156,7,Friday,Friday
395,C067,26,2,44988,0.968680556,44991,0.772650463,Hosur,Holi,23,18,March,March,289,578,3,Friday,Monday
402,C037,29,1,44990,0.696168981,44993,0.564467593,Thrissur,Holi,16,13,March,March,1252,1252,3,Sunday,Wednesday
417,C004,62,4,44992,0.944907407,44996,0.247604167,Khammam,Holi,22,5,March,March,1356,5424,4,Tuesday,Saturday
419,C065,47,3,44990,0.721423611,44996,0.578888889,Agartala,Holi,17,13,March,March,1638,4914,6,Sunday,Saturday
424,C072,7,4,44986,0.128425926,44994,0.435451389,Kishanganj,Holi,3,10,March,March,409,1636,8,Wednesday,Thursday
440,C018,13,4,44992,0.398275463,44994,0.056585648,Gudivada,Holi,9,1,March,March,1141,4564,2,Tuesday,Thursday
448,C086,16,1,44987,0.113125,44988,0.571111111,Bulandshahr,Holi,2,13,March,March,1721,1721,1,Thursday,Friday
460,C007,29,2,44989,0.332326389,44991,0.005162037,Kolhapur,Holi,7,0,March,March,1252,2504,2,Saturday,Monday
480,C059,62,4,44991,0.187164352,45001,0.930243056,Sagar,Holi,4,22,March,March,1356,5424,10,Monday,Thursday
507,C028,13,4,44992,0.019571759,44998,0.841388889,Malda,Holi,0,20,March,March,1141,4564,6,Tuesday,Monday
509,C003,13,5,44990,0.533969907,44994,0.324490741,Uluberia,Holi,12,7,March,March,1141,5705,4,Sunday,Thursday
525,C033,16,2,44987,0.837592593,44996,0.932349537,Bhagalpur,Holi,20,22,March,March,1721,3442,9,Thursday,Saturday
526,C008,13,5,44987,0.254398148,44993,0.066030093,Bangalore,Holi,6,1,March,March,1141,5705,6,Thursday,Wednesday
544,C030,29,2,44986,0.105486111,44996,0.398518519,Belgaum,Holi,2,9,March,March,1252,2504,10,Wednesday,Saturday
557,C039,47,3,44986,0.125486111,44993,0.090729167,Kavali,Holi,3,2,March,March,1638,4914,7,Wednesday,Wednesday
565,C011,50,3,44991,0.727962963,44999,0.550543981,Mehsana,Holi,17,13,March,March,422,1266,8,Monday,Tuesday
567,C090,66,1,44991,0.258321759,45000,0.78962963,Unnao,Holi,6,18,March,March,610,610,9,Monday,Wednesday
574,C064,29,3,44987,0.997986111,44991,0.906388889,Kozhikode,Holi,23,21,March,March,1252,3756,4,Thursday,Monday
579,C092,29,2,44992,0.901851852,44999,0.447986111,Maheshtala,Holi,21,10,March,March,1252,2504,7,Tuesday,Tuesday
592,C007,47,5,44992,0.143784722,44996,0.903738426,Phusro,Holi,3,21,March,March,1638,8190,4,Tuesday,Saturday
596,C046,50,1,44990,0.623391204,44999,0.74912037,Tiruppur,Holi,14,17,March,March,422,422,9,Sunday,Tuesday
597,C074,16,1,44986,0.045752315,44991,0.11787037,Pimpri-Chinchwad,Holi,1,2,March,March,1721,1721,5,Wednesday,Monday
600,C095,47,4,44992,0.892118056,44994,0.637025463,Shimla,Holi,21,15,March,March,1638,6552,2,Tuesday,Thursday
607,C028,50,3,44988,0.076678241,44990,0.411759259,Bidhannagar,Holi,1,9,March,March,422,1266,2,Friday,Sunday
612,C075,26,1,44987,0.432233796,44993,0.527662037,Shivpuri,Holi,10,12,March,March,289,289,6,Thursday,Wednesday
614,C089,26,1,44988,0.650150463,44992,0.785891204,Aizawl,Holi,15,18,March,March,289,289,4,Friday,Tuesday
619,C091,35,1,44991,0.304699074,45001,0.1371875,Patiala,Holi,7,3,March,March,1865,1865,10,Monday,Thursday
657,C055,13,3,44988,0.40130787,44993,0.617071759,Kochi,Holi,9,14,March,March,1141,3423,5,Friday,Wednesday
665,C060,62,5,44990,0.599560185,45000,0.662534722,Akola,Holi,14,15,March,March,1356,6780,10,Sunday,Wednesday
666,C032,26,5,44987,0.403541667,44993,0.811284722,Jammu,Holi,9,19,March,March,289,1445,6,Thursday,Wednesday
686,C026,50,1,44986,0.68724537,44996,0.901377315,Bardhaman,Holi,16,21,March,March,422,422,10,Wednesday,Saturday
689,C046,66,4,44987,0.244930556,44992,0.458645833,Silchar,Holi,5,11,March,March,610,2440,5,Thursday,Tuesday
696,C046,13,3,44992,0.112743056,44999,0.631076389,Rajpur Sonarpur,Holi,2,15,March,March,1141,3423,7,Tuesday,Tuesday
697,C026,66,1,44988,0.597511574,44992,0.634953704,Ichalkaranji,Holi,14,15,March,March,610,610,4,Friday,Tuesday
700,C006,6,1,44989,0.762465278,44994,0.571608796,Gwalior,Holi,18,13,March,March,1112,1112,5,Saturday,Thursday
705,C004,7,1,44990,0.762511574,44999,0.748020833,Pimpri-Chinchwad,Holi,18,17,March,March,409,409,9,Sunday,Tuesday
708,C002,62,3,44988,0.4578125,44997,0.212210648,Ozhukarai,Holi,10,5,March,March,1356,4068,9,Friday,Sunday
722,C044,13,5,44987,0.729456019,44993,0.338171296,Mathura,Holi,17,8,March,March,1141,5705,6,Thursday,Wednesday
725,C035,35,3,44991,0.974513889,44996,0.835960648,Kishanganj,Holi,23,20,March,March,1865,5595,5,Monday,Saturday
738,C098,16,5,44988,0.683078704,44994,0.067037037,Maheshtala,Holi,16,1,March,March,1721,8605,6,Friday,Thursday
746,C051,35,2,44987,0.224641204,44991,0.267141204,Parbhani,Holi,5,6,March,March,1865,3730,4,Thursday,Monday
747,C009,6,4,44991,0.155138889,44996,0.693460648,Dhanbad,Holi,3,16,March,March,1112,4448,5,Monday,Saturday
748,C079,26,1,44991,0.467962963,44992,0.851851852,Tenali,Holi,11,20,March,March,289,289,1,Monday,Tuesday
763,C070,29,4,44987,0.640381944,44989,0.187581019,Nellore,Holi,15,4,March,March,1252,5008,2,Thursday,Saturday
767,C077,13,2,44988,0.09806713,44989,0.010335648,Rohtak,Holi,2,0,March,March,1141,2282,1,Friday,Saturday
772,C085,35,5,44986,0.210486111,44989,0.347280093,Machilipatnam,Holi,5,8,March,March,1865,9325,3,Wednesday,Saturday
786,C003,47,1,44990,0.949363426,44992,0.303391204,Kirari Suleman Nagar,Holi,22,7,March,March,1638,1638,2,Sunday,Tuesday
794,C079,13,4,44989,0.716643519,44994,0.618819444,Shimoga,Holi,17,14,March,March,1141,4564,5,Saturday,Thursday
795,C070,7,1,44988,0.749027778,44992,0.92900463,Ujjain,Holi,17,22,March,March,409,409,4,Friday,Tuesday
797,C047,13,2,44988,0.87349537,44995,0.186840278,Tiruvottiyur,Holi,20,4,March,March,1141,2282,7,Friday,Friday
801,C058,35,1,44992,0.802638889,45000,0.274444444,Dindigul,Holi,19,6,March,March,1865,1865,8,Tuesday,Wednesday
803,C040,26,1,44988,0.502638889,44995,0.118113426,Sambalpur,Holi,12,2,March,March,289,289,7,Friday,Friday
809,C062,35,1,44992,0.82693287,45002,0.077476852,Ludhiana,Holi,19,1,March,March,1865,1865,10,Tuesday,Friday
814,C094,47,5,44990,0.08287037,44999,0.195324074,Kumbakonam,Holi,1,4,March,March,1638,8190,9,Sunday,Tuesday
826,C077,16,5,44987,0.834803241,44993,0.261319444,Udaipur,Holi,20,6,March,March,1721,8605,6,Thursday,Wednesday
833,C002,26,3,44990,0.028333333,44998,0.069641204,Shahjahanpur,Holi,0,1,March,March,289,867,8,Sunday,Monday
841,C041,26,5,44992,0.261111111,44997,0.969895833,Bhalswa Jahangir Pur,Holi,6,23,March,March,289,1445,5,Tuesday,Sunday
848,C005,6,1,44991,0.7034375,44995,0.935277778,Shimla,Holi,16,22,March,March,1112,1112,4,Monday,Friday
851,C030,13,3,44991,0.480520833,44995,0.762430556,Singrauli,Holi,11,18,March,March,1141,3423,4,Monday,Friday
862,C049,6,4,44992,0.243912037,45000,0.349849537,Shimoga,Holi,5,8,March,March,1112,4448,8,Tuesday,Wednesday
872,C094,13,2,44990,0.852743056,44995,0.064155093,Bokaro,Holi,20,1,March,March,1141,2282,5,Sunday,Friday
875,C011,13,1,44990,0.890636574,44999,0.831782407,Purnia,Holi,21,19,March,March,1141,1141,9,Sunday,Tuesday
888,C014,69,3,44991,0.48244213,44996,0.634826389,Gandhinagar,Holi,11,15,March,March,998,2994,5,Monday,Saturday
915,C014,35,1,44991,0.883796296,44999,0.230983796,Uluberia,Holi,21,5,March,March,1865,1865,8,Monday,Tuesday
948,C061,26,3,44989,0.765173611,44992,0.549606481,Dehradun,Holi,18,13,March,March,289,867,3,Saturday,Tuesday
958,C009,16,3,44992,0.585381944,44999,0.919918981,Bihar Sharif,Holi,14,22,March,March,1721,5163,7,Tuesday,Tuesday
963,C025,29,1,44988,0.364108796,44991,0.442199074,Phagwara,Holi,8,10,March,March,1252,1252,3,Friday,Monday
965,C080,62,1,44987,0.135532407,44991,0.722476852,Amaravati,Holi,3,17,March,March,1356,1356,4,Thursday,Monday
966,C061,13,2,44986,0.097986111,44995,0.43255787,Nellore,Holi,2,10,March,March,1141,2282,9,Wednesday,Friday
971,C027,47,1,44987,0.168206019,44995,0.803888889,Sultan Pur Majra,Holi,4,19,March,March,1638,1638,8,Thursday,Friday
975,C077,62,2,44989,0.018425926,44997,0.335902778,Sultan Pur Majra,Holi,0,8,March,March,1356,2712,8,Saturday,Sunday
977,C005,47,2,44990,0.523275463,44992,0.985925926,Rajpur Sonarpur,Holi,12,23,March,March,1638,3276,2,Sunday,Tuesday
51,C036,10,1,45000,0.391539352,45004,0.699074074,Agartala,Birthday,9,16,March,March,259,259,4,Wednesday,Sunday
96,C099,25,3,44999,0.625243056,45008,0.372291667,Latur,Anniversary,15,8,March,March,1202,3606,9,Tuesday,Thursday
125,C020,31,2,45004,0.383460648,45010,0.608460648,Kolkata,All Occasions,9,14,March,March,1804,3608,6,Sunday,Saturday
128,C065,12,3,44991,0.701712963,44998,0.632858796,Kochi,Anniversary,16,15,March,March,672,2016,7,Monday,Monday
138,C022,57,4,44996,0.398564815,45003,0.251851852,Siliguri,Birthday,9,6,March,March,1582,6328,7,Saturday,Saturday
147,C080,8,4,45002,0.811284722,45008,0.577210648,Jodhpur,Anniversary,19,13,March,March,252,1008,6,Friday,Thursday
170,C040,32,2,45006,0.498761574,45012,0.218136574,Kamarhati,Birthday,11,5,March,March,1792,3584,6,Tuesday,Monday
176,C039,17,2,44995,0.149143519,45001,0.725590278,Moradabad,Anniversary,3,17,March,March,1899,3798,6,Friday,Thursday
197,C095,45,2,45007,0.776875,45011,0.145902778,Etawah,Birthday,18,3,March,March,722,1444,4,Wednesday,Sunday
228,C035,36,1,44995,0.77837963,44996,0.4375,Bijapur,Birthday,18,10,March,March,203,203,1,Friday,Saturday
240,C074,5,5,45010,0.252523148,45015,0.655185185,Darbhanga,All Occasions,6,15,March,March,1444,7220,5,Saturday,Thursday
244,C041,65,3,45005,0.629178241,45015,0.296296296,Guntakal,All Occasions,15,7,March,March,1895,5685,10,Monday,Thursday
263,C081,57,4,44997,0.399421296,44998,0.640289352,Chittoor,Birthday,9,15,March,March,1582,6328,1,Sunday,Monday
304,C088,67,3,44997,0.391990741,45004,0.965011574,Tiruchirappalli,Anniversary,9,23,March,March,1374,4122,7,Sunday,Sunday
308,C005,57,1,44994,0.329293981,44997,0.507916667,Haldia,Birthday,7,12,March,March,1582,1582,3,Thursday,Sunday
321,C049,12,5,44993,0.477141204,45002,0.410914352,Rampur,Anniversary,11,9,March,March,672,3360,9,Wednesday,Friday
362,C041,31,2,44995,0.152789352,45002,0.441238426,Nashik,All Occasions,3,10,March,March,1804,3608,7,Friday,Friday
394,C028,38,5,45008,0.185150463,45016,0.809699074,Dewas,Birthday,4,19,March,March,562,2810,8,Thursday,Friday
396,C068,10,5,45000,0.64650463,45001,0.072928241,Tiruvottiyur,Birthday,15,1,March,March,259,1295,1,Wednesday,Thursday
408,C063,31,2,44990,0.51349537,44996,0.195578704,Haldia,All Occasions,12,4,March,March,1804,3608,6,Sunday,Saturday
459,C093,12,2,45014,0.308969907,45015,0.315636574,Ranchi,Anniversary,7,7,March,March,672,1344,1,Wednesday,Thursday
601,C030,1,4,44999,0.109571759,45003,0.150833333,Raurkela Industrial Township,All Occasions,2,3,March,March,1935,7740,4,Tuesday,Saturday
637,C056,51,3,44997,0.812106481,45005,0.940439815,Darbhanga,All Occasions,19,22,March,March,1084,3252,8,Sunday,Monday
687,C098,8,5,45000,0.748090278,45004,0.202013889,Raichur,Anniversary,17,4,March,March,252,1260,4,Wednesday,Sunday
695,C046,23,4,44990,0.692268519,44999,0.709537037,Imphal,Anniversary,16,17,March,March,1098,4392,9,Sunday,Tuesday
802,C097,45,3,45008,0.525960648,45011,0.263194444,Dibrugarh,Birthday,12,6,March,March,722,2166,3,Thursday,Sunday
818,C004,8,4,44987,0.327152778,44994,0.380335648,Thrissur,Anniversary,7,9,March,March,252,1008,7,Thursday,Thursday
849,C013,57,1,44997,0.053333333,44999,0.034756944,Panipat,Birthday,1,0,March,March,1582,1582,2,Sunday,Tuesday
877,C041,46,5,44994,0.96962963,45003,0.519027778,Hazaribagh,Anniversary,23,12,March,March,758,3790,9,Thursday,Saturday
884,C091,10,3,45003,0.927592593,45012,0.791608796,Tezpur,Birthday,22,18,March,March,259,777,9,Saturday,Monday
890,C064,45,4,45008,0.975925926,45012,0.484895833,Kharagpur,Birthday,23,11,March,March,722,2888,4,Thursday,Monday
902,C025,32,5,45007,0.56244213,45009,0.516678241,Bidar,Birthday,13,12,March,March,1792,8960,2,Wednesday,Friday
926,C049,40,4,45013,0.959699074,45016,0.994039352,Kulti,Anniversary,23,23,March,March,1923,7692,3,Tuesday,Friday
929,C085,23,1,45004,0.292268519,45011,0.543425926,Kavali,Anniversary,7,13,March,March,1098,1098,7,Sunday,Sunday
937,C097,51,2,44996,0.165081019,45000,0.81056713,Rohtak,All Occasions,3,19,March,March,1084,2168,4,Saturday,Wednesday
1,C037,67,5,44981,0.99181713,44990,0.310532407,Bardhaman,Anniversary,23,7,February,March,1374,6870,9,Friday,Sunday
31,C029,7,5,44985,0.550949074,44988,0.983206019,Nandyal,Holi,13,23,February,March,409,2045,3,Tuesday,Friday
10,C099,56,3,44983,0.012106481,44993,0.866469907,Ambala,Anniversary,0,20,February,March,1272,3816,10,Sunday,Wednesday
13,C024,20,3,44981,0.699490741,44989,0.102511574,Gandhidham,Anniversary,16,2,February,March,697,2091,8,Friday,Saturday
42,C080,35,1,44983,0.00599537,44992,0.721157407,Faridabad,Holi,0,17,February,March,1865,1865,9,Sunday,Tuesday
57,C090,35,5,44983,0.333506944,44991,0.51912037,Ahmedabad,Holi,8,12,February,March,1865,9325,8,Sunday,Monday
81,C053,1,5,44979,0.770381944,44988,0.298287037,Kalyan-Dombivli,All Occasions,18,7,February,March,1935,9675,9,Wednesday,Friday
91,C061,6,2,44984,0.578425926,44990,0.557928241,Mahbubnagar,Holi,13,13,February,March,1112,2224,6,Monday,Sunday
108,C012,26,4,44984,0.377384259,44990,0.335474537,Berhampore,Holi,9,8,February,March,289,1156,6,Monday,Sunday
109,C074,50,5,44984,0.649861111,44986,0.36037037,Gandhidham,Holi,15,8,February,March,422,2110,2,Monday,Wednesday
118,C035,62,1,44984,0.604849537,44990,0.439490741,Bhavnagar,Holi,14,10,February,March,1356,1356,6,Monday,Sunday
141,C062,35,4,44985,0.163263889,44995,0.105509259,Allahabad,Holi,3,2,February,March,1865,7460,10,Tuesday,Friday
143,C087,66,2,44985,0.317569444,44995,0.617986111,Ramagundam,Holi,7,14,February,March,610,1220,10,Tuesday,Friday
152,C084,51,2,44984,0.450590278,44990,0.69400463,Tiruppur,All Occasions,10,16,February,March,1084,2168,6,Monday,Sunday
157,C019,35,3,44983,0.530752315,44991,0.483148148,Thiruvananthapuram,Holi,12,11,February,March,1865,5595,8,Sunday,Monday
179,C078,47,3,44985,0.636134259,44995,0.60494213,Vijayanagaram,Holi,15,14,February,March,1638,4914,10,Tuesday,Friday
212,C093,7,2,44985,0.301851852,44990,0.834548611,Ozhukarai,Holi,7,20,February,March,409,818,5,Tuesday,Sunday
222,C099,6,5,44983,0.248206019,44992,0.764467593,Guntur,Holi,5,18,February,March,1112,5560,9,Sunday,Tuesday
235,C071,56,2,44983,0.601921296,44988,0.976655093,Bhilai,Anniversary,14,23,February,March,1272,2544,5,Sunday,Friday
246,C017,69,5,44985,0.975381944,44993,0.026956019,Agra,Holi,23,0,February,March,998,4990,8,Tuesday,Wednesday
251,C051,7,4,44985,0.022083333,44987,0.013703704,Khora,Holi,0,0,February,March,409,1636,2,Tuesday,Thursday
285,C082,7,5,44983,0.726898148,44986,0.536342593,Tirunelveli,Holi,17,12,February,March,409,2045,3,Sunday,Wednesday
297,C047,13,3,44985,0.844085648,44990,0.869756944,Phagwara,Holi,20,20,February,March,1141,3423,5,Tuesday,Sunday
301,C070,6,3,44984,0.266921296,44989,0.702962963,Kota,Holi,6,16,February,March,1112,3336,5,Monday,Saturday
354,C087,13,5,44983,0.726018519,44991,0.405231481,Narasaraopet,Holi,17,9,February,March,1141,5705,8,Sunday,Monday
359,C052,47,2,44985,0.509444444,44990,0.855208333,Nagpur,Holi,12,20,February,March,1638,3276,5,Tuesday,Sunday
414,C034,7,4,44985,0.887627315,44992,0.046886574,Raurkela Industrial Township,Holi,21,1,February,March,409,1636,7,Tuesday,Tuesday
433,C068,7,5,44983,0.981840278,44987,0.180509259,Amravati,Holi,23,4,February,March,409,2045,4,Sunday,Thursday
441,C052,26,2,44983,0.474953704,44991,0.693634259,Kurnool,Holi,11,16,February,March,289,578,8,Sunday,Monday
447,C032,47,4,44984,0.114976852,44989,0.628425926,Bhilwara,Holi,2,15,February,March,1638,6552,5,Monday,Saturday
470,C031,47,5,44985,0.731990741,44991,0.645474537,Bhavnagar,Holi,17,15,February,March,1638,8190,6,Tuesday,Monday
494,C082,7,4,44985,0.132893519,44993,0.796388889,Rewa,Holi,3,19,February,March,409,1636,8,Tuesday,Wednesday
508,C035,69,1,44983,0.728796296,44989,0.299375,Varanasi,Holi,17,7,February,March,998,998,6,Sunday,Saturday
511,C055,47,2,44984,0.540335648,44989,0.032071759,Dibrugarh,Holi,12,0,February,March,1638,3276,5,Monday,Saturday
522,C011,50,3,44984,0.878101852,44993,0.065856481,Avadi,Holi,21,1,February,March,422,1266,9,Monday,Wednesday
550,C023,29,5,44984,0.81125,44990,0.710868056,Bettiah,Holi,19,17,February,March,1252,6260,6,Monday,Sunday
554,C045,29,4,44985,0.850775463,44988,0.700706019,Sangli-Miraj & Kupwad,Holi,20,16,February,March,1252,5008,3,Tuesday,Friday
570,C056,69,3,44985,0.475740741,44994,0.03744213,Satna,Holi,11,0,February,March,998,2994,9,Tuesday,Thursday
571,C046,6,1,44985,0.401678241,44994,0.184733796,Bhatpara,Holi,9,4,February,March,1112,1112,9,Tuesday,Thursday
625,C089,63,5,44980,0.885902778,44989,0.115347222,Belgaum,All Occasions,21,2,February,March,1348,6740,9,Thursday,Saturday
630,C071,67,3,44978,0.901238426,44986,0.786898148,Karimnagar,Anniversary,21,18,February,March,1374,4122,8,Tuesday,Wednesday
643,C063,35,2,44983,0.548888889,44991,0.850115741,Malda,Holi,13,20,February,March,1865,3730,8,Sunday,Monday
650,C077,32,3,44980,0.079664352,44987,0.131666667,Guwahati,Birthday,1,3,February,March,1792,5376,7,Thursday,Thursday
675,C052,13,4,44985,0.336643519,44994,0.994583333,Pali,Holi,8,23,February,March,1141,4564,9,Tuesday,Thursday
682,C054,50,5,44983,0.31337963,44990,0.4809375,Hyderabad,Holi,7,11,February,March,422,2110,7,Sunday,Sunday
755,C037,6,5,44984,0.689884259,44991,0.095046296,Aurangabad,Holi,16,2,February,March,1112,5560,7,Monday,Monday
762,C064,50,1,44983,0.424525463,44986,0.16412037,Bangalore,Holi,10,3,February,March,422,422,3,Sunday,Wednesday
785,C052,47,5,44983,0.737199074,44986,0.54818287,Jodhpur,Holi,17,13,February,March,1638,8190,3,Sunday,Wednesday
790,C046,26,2,44985,0.252418981,44993,0.18099537,Chennai,Holi,6,4,February,March,289,578,8,Tuesday,Wednesday
806,C088,29,2,44985,0.542615741,44993,0.277060185,Jhansi,Holi,13,6,February,March,1252,2504,8,Tuesday,Wednesday
816,C042,35,3,44985,0.822511574,44995,0.57056713,Ujjain,Holi,19,13,February,March,1865,5595,10,Tuesday,Friday
821,C050,32,4,44984,0.844108796,44992,0.948611111,Bareilly,Birthday,20,22,February,March,1792,7168,8,Monday,Tuesday
854,C016,62,3,44984,0.083715278,44987,0.119085648,Bhind,Holi,2,2,February,March,1356,4068,3,Monday,Thursday
919,C038,35,5,44985,0.352696759,44989,0.00380787,Delhi,Holi,8,0,February,March,1865,9325,4,Tuesday,Saturday
949,C020,6,4,44984,0.871539352,44991,0.399502315,Begusarai,Holi,20,9,February,March,1112,4448,7,Monday,Monday
973,C031,66,3,44983,0.441608796,44992,0.157222222,Barasat,Holi,10,3,February,March,610,1830,9,Sunday,Tuesday
978,C019,29,4,44985,0.374479167,44994,0.271608796,Barasat,Holi,8,6,February,March,1252,5008,9,Tuesday,Thursday
